                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     88,               0.015885,               0.013478,               0.015449,                      0,                0.99924,                0.99892,                0.99499,                0.97842,                0.99924,                0.99892,                0.99499,                0.84098,              0.0054841,              0.0067168,              0.0047743,                      0,                0.00739,                0.00739,                0.00739
                     89,                0.01555,               0.013288,               0.015182,                      0,                0.99929,                0.99892,                0.99499,                0.97877,                0.99929,                0.99892,                0.99499,                0.84207,               0.005479,              0.0067094,              0.0047684,                      0,                0.00736,                0.00736,                0.00736
                     90,               0.015861,               0.013444,               0.015346,                      0,                 0.9993,                0.99892,                0.99499,                0.97882,                 0.9993,                0.99892,                0.99499,                0.84319,              0.0054528,              0.0066986,              0.0047446,                      0,                0.00733,                0.00733,                0.00733
                     91,               0.015624,               0.013364,               0.015399,                      0,                0.99935,                0.99879,                0.99499,                0.97989,                0.99935,                0.99879,                0.99499,                0.84441,              0.0054316,              0.0066726,              0.0047198,                      0,                 0.0073,                 0.0073,                 0.0073
                     92,               0.015848,               0.013289,               0.015197,                      0,                0.99957,                0.99888,                0.99499,                0.97999,                0.99957,                0.99888,                0.99499,                0.84528,              0.0054059,              0.0066528,              0.0047025,                      0,                0.00727,                0.00727,                0.00727
                     93,               0.015716,               0.013263,               0.015151,                      0,                0.99955,                0.99892,                0.99499,                0.98022,                0.99955,                0.99892,                0.99499,                0.84538,              0.0053866,              0.0066304,              0.0046866,                      0,                0.00724,                0.00724,                0.00724
                     94,               0.015619,               0.013289,               0.015066,                      0,                0.99947,                0.99892,                0.99498,                0.97991,                0.99947,                0.99892,                0.99498,                0.84509,              0.0053649,              0.0066065,              0.0046787,                      0,                0.00721,                0.00721,                0.00721
                     95,               0.015392,               0.013132,               0.015345,                      0,                 0.9995,                0.99892,                0.99499,                0.98077,                 0.9995,                0.99892,                0.99499,                0.84598,              0.0053489,              0.0065967,              0.0046594,                      0,                0.00718,                0.00718,                0.00718
                     96,               0.015778,               0.013057,               0.014845,                      0,                0.99956,                0.99892,                0.99499,                0.98093,                0.99956,                0.99892,                0.99499,                0.84591,              0.0053345,              0.0065857,              0.0046512,                      0,                0.00715,                0.00715,                0.00715
                     97,               0.015701,               0.013281,               0.015127,                      0,                0.99952,                0.99892,                0.99499,                0.98083,                0.99952,                0.99892,                0.99499,                 0.8472,              0.0053213,              0.0065759,              0.0046488,                      0,                0.00712,                0.00712,                0.00712
                     98,                0.01554,               0.013113,               0.015021,                      0,                0.99956,                0.99892,                0.99499,                0.98035,                0.99956,                0.99892,                0.99499,                  0.847,              0.0053081,              0.0065662,              0.0046374,                      0,                0.00709,                0.00709,                0.00709
                     99,               0.015382,               0.013068,               0.014949,                      0,                0.99948,                 0.9987,                0.99499,                0.98022,                0.99948,                 0.9987,                0.99499,                0.84773,              0.0052982,              0.0065534,              0.0046121,                      0,                0.00706,                0.00706,                0.00706
                    100,               0.015505,               0.013049,               0.015079,                      0,                0.99957,                0.99889,                0.99499,                 0.9811,                0.99957,                0.99889,                0.99499,                0.84825,              0.0052841,              0.0065365,              0.0045962,                      0,                0.00703,                0.00703,                0.00703
                    101,               0.015239,               0.013189,               0.014641,                      0,                0.99953,                0.99892,                0.99499,                0.98085,                0.99953,                0.99892,                0.99499,                0.84801,               0.005271,              0.0065297,              0.0045934,                      0,                  0.007,                  0.007,                  0.007
                    102,               0.015391,               0.013066,               0.014695,                      0,                0.99957,                0.99885,                0.99499,                0.98121,                0.99957,                0.99885,                0.99499,                0.84795,              0.0052539,              0.0065208,              0.0045883,                      0,                0.00697,                0.00697,                0.00697
                    103,               0.015389,               0.013155,               0.014633,                      0,                0.99957,                0.99885,                  0.995,                0.98135,                0.99957,                0.99885,                  0.995,                0.84831,              0.0052448,              0.0065124,              0.0045818,                      0,                0.00694,                0.00694,                0.00694
                    104,               0.015051,               0.012932,               0.014569,                      0,                0.99935,                0.99882,                  0.995,                0.98143,                0.99935,                0.99882,                  0.995,                0.84839,                0.00523,              0.0065038,              0.0045724,                      0,                0.00691,                0.00691,                0.00691
                    105,                0.01542,               0.012969,               0.014732,                      0,                0.99935,                0.99887,                0.99499,                0.98123,                0.99935,                0.99887,                0.99499,                0.84922,              0.0052175,              0.0064937,               0.004556,                      0,                0.00688,                0.00688,                0.00688
